Team,Matches,Player,Rank,Tournaments
Netherlands,15,Arjen Robben,70,"2006, 2010, 2014"
Brazil,15,Bebeto,70,"1990, 1994, 1998"
Brazil,15,Didi,70,"1954, 1958, 1962"
Netherlands,15,Dirk Kuyt,70,"2006, 2010, 2014"
West Germany,15,Hans Schäfer,70,"1954, 1958, 1962"
Germany,15,Lukas Podolski,70,"2006, 2010, 2014"
Croatia,15,Mateo Kovačić,70,"2014, 2018, 2022"
France,15,Maxime Bossis,70,"1978, 1982, 1986"
Brazil,15,Nílton Santos,70,"1954, 1958, 1962"
Brazil,15,Rivellino,70,"1970, 1974, 1978"
Germany,15,Rudi Völler,70,"1986, 1990, 1994"
Brazil,15,Thiago Silva,70,"2014, 2018, 2022"
Belgium,15,Thibaut Courtois,70,"2014, 2018, 2022"
Spain,15,Xavi,70,"2002, 2006, 2010, 2014"
Japan,15,Yuto Nagatomo,70,"2010, 2014, 2018, 2022"
Spain,16,Andoni Zubizarreta,54,"1986, 1990, 1994, 1998"
Germany,16,Andreas Brehme,54,"1986, 1990, 1994"
Croatia,16,Dejan Lovren,54,"2014, 2018, 2022"
Uruguay,16,Diego Godín,54,"2010, 2014, 2018, 2022"
Uruguay,16,Fernando Muslera,54,"2010, 2014, 2018"
Brazil,16,Gilberto Silva,54,"2002, 2006, 2010"
Italy,16,Giuseppe Bergomi,54,"1982, 1986, 1990, 1998"
South Korea,16,Hong Myung-bo,54,"1990, 1994, 1998, 2002"
Brazil,16,Jairzinho,54,"1966, 1970, 1974"
Belgium,16,Jan Ceulemans,54,"1982, 1986, 1990"
France,16,Lilian Thuram,54,"1998, 2002, 2006"
Uruguay,16,Luis Suárez,54,"2010, 2014, 2018, 2022"
Germany,16,Mesut Özil,54,"2010, 2014, 2018"
Argentina,16,Oscar Ruggeri,54,"1986, 1990, 1994"
Italy,16,Roberto Baggio,54,"1990, 1994, 1998"
Poland,16,Zbigniew Boniek,54,"1978, 1982, 1986"
Italy,17,Dino Zoff,38,"1974, 1978, 1982"
Uruguay,17,Edinson Cavani,38,"2010, 2014, 2018, 2022"
Belgium,17,Enzo Scifo,38,"1986, 1990, 1994, 1998"
France,17,Fabien Barthez,38,"1998, 2002, 2006"
Spain,17,Iker Casillas,38,"2002, 2006, 2010, 2014"
Croatia,17,Ivan Perišić,38,"2014, 2018, 2022"
Germany,17,Jürgen Klinsmann,38,"1990, 1994, 1998"
West Germany,17,Karl-Heinz Schnellinger,38,"1958, 1962, 1966, 1970"
Brazil,17,Lúcio,38,"2002, 2006, 2010"
England,17,Peter Shilton,38,"1982, 1986, 1990"
Brazil,17,Roberto Carlos,38,"1998, 2002, 2006"
Netherlands,17,Robin van Persie,38,"2006, 2010, 2014"
Spain,17,Sergio Busquets,38,"2010, 2014, 2018, 2022"
Spain,17,Sergio Ramos,38,"2006, 2010, 2014, 2018"
France,17,Thierry Henry,38,"1998, 2002, 2006, 2010"
Netherlands,17,Wesley Sneijder,38,"2006, 2010, 2014"
Argentina,18,Ángel Di María,25,"2010, 2014, 2018, 2022"
Italy,18,Antonio Cabrini,25,"1978, 1982, 1986"
Brazil,18,Cláudio Taffarel,25,"1990, 1994, 1998"
Brazil,18,Dunga,25,"1990, 1994, 1998"
Italy,18,Fabio Cannavaro,25,"1998, 2002, 2006, 2010"
West Germany,18,Franz Beckenbauer,25,"1966, 1970, 1974"
Italy,18,Gaetano Scirea,25,"1978, 1982, 1986"
Argentina,18,Mario Kempes,25,"1974, 1978, 1982"
France,18,Olivier Giroud,25,"2014, 2018, 2022"
West Germany,18,Pierre Littbarski,25,"1982, 1986, 1990"
France,18,Raphaël Varane,25,"2014, 2018, 2022"
West Germany,18,Sepp Maier,25,"1970, 1974, 1978"
Germany,18,Thomas Berthold,25,"1986, 1990, 1994"
France,19,Antoine Griezmann,15,"2014, 2018, 2022"
West Germany,19,Berti Vogts,15,"1970, 1974, 1978"
West Germany,19,Karl-Heinz Rummenigge,15,"1978, 1982, 1986"
Croatia,19,Luka Modrić,15,"2006, 2014, 2018, 2022"
Germany,19,Manuel Neuer,15,"2010, 2014, 2018, 2022"
Germany,19,Per Mertesacker,15,"2006, 2010, 2014"
Mexico,19,Rafael Márquez,15,"2002, 2006, 2010, 2014, 2018"
Brazil,19,Ronaldo,15,"1998, 2002, 2006"
Germany,19,Thomas Müller,15,"2010, 2014, 2018, 2022"
West Germany,19,Wolfgang Overath,15,"1966, 1970, 1974"
Germany,20,Bastian Schweinsteiger,9,"2006, 2010, 2014"
Brazil,20,Cafu,9,"1994, 1998, 2002, 2006"
Poland,20,Grzegorz Lato,9,"1974, 1978, 1982"
France,20,Hugo Lloris,9,"2010, 2014, 2018, 2022"
Argentina,20,Javier Mascherano,9,"2006, 2010, 2014, 2018"
Germany,20,Philipp Lahm,9,"2006, 2010, 2014"
Argentina,21,Diego Maradona,6,"1982, 1986, 1990, 1994"
West Germany,21,Uwe Seeler,6,"1958, 1962, 1966, 1970"
Poland,21,Władysław Żmuda,6,"1974, 1978, 1982, 1986"
Portugal,22,Cristiano Ronaldo,5,"2006, 2010, 2014, 2018, 2022"
Italy,23,Paolo Maldini,4,"1990, 1994, 1998, 2002"
Germany,24,Miroslav Klose,3,"2002, 2006, 2010, 2014"
Germany,25,Lothar Matthäus,2,"1982, 1986, 1990, 1994, 1998"
Argentina,26,Lionel Messi,1,"2006, 2010, 2014, 2018, 2022"
